"","ID","Gene Symbol","ENTREZ_GENE_ID"
"144","200616_s_at","MLEC","9761"
"145","200617_at","MLEC","9761"
"146","200618_at","LASP1","3927"
"147","200619_at","SF3B2","10992"
"148","200620_at","TMEM59","9528"
"149","200621_at","CSRP1","1465"
"150","200622_x_at","CALM1 /// CALM2 /// CALM3","801 /// 805 /// 808"
"151","200623_s_at","CALM1 /// CALM2 /// CALM3","801 /// 805 /// 808"
"152","200624_s_at","MATR3 /// SNHG4","9782 /// 724102"
"153","200625_s_at","CAP1","10487"
"154","200626_s_at","MATR3 /// SNHG4","9782 /// 724102"
"155","200627_at","PTGES3","10728"
"156","200628_s_at","WARS","7453"
"157","200629_at","WARS","7453"
"158","200630_x_at","SET /// SETSIP","6418 /// 646817"
"159","200631_s_at","SET /// SETSIP","6418 /// 646817"
"160","200632_s_at","NDRG1","10397"
"161","200633_at","UBB","7314"
"162","200634_at","PFN1","5216"
"163","200635_s_at","PTPRF","5792"
"164","200636_s_at","PTPRF","5792"
"165","200637_s_at","PTPRF","5792"
"166","200638_s_at","YWHAZ","7534"
"167","200639_s_at","YWHAZ","7534"
"168","200640_at","YWHAZ","7534"
"169","200641_s_at","YWHAZ","7534"
"170","200642_at","SOD1","6647"
"171","200643_at","HDLBP","3069"
"172","200644_at","MARCKSL1","65108"
"173","200645_at","GABARAP","11337"
"174","200646_s_at","NUCB1","4924"
"175","200647_x_at","EIF3C /// EIF3CL","8663 /// 728689"
"176","200648_s_at","GLUL","2752"
"177","200649_at","NUCB1","4924"
"178","200650_s_at","LDHA","3939"
"179","200651_at","GNB2L1 /// SNORD95 /// SNORD96A","10399 /// 619570 /// 619571"
"180","200652_at","SSR2","6746"
"181","200653_s_at","CALM1 /// CALM2 /// CALM3","801 /// 805 /// 808"
"182","200654_at","P4HB","5034"
"183","200655_s_at","CALM1 /// CALM2 /// CALM3","801 /// 805 /// 808"
"184","200656_s_at","P4HB","5034"
"185","200657_at","SLC25A5","292"
"186","200658_s_at","PHB","5245"
"187","200659_s_at","PHB","5245"
"188","200660_at","S100A11","6282"
"189","200661_at","CTSA","5476"
"190","200662_s_at","TOMM20","9804"
"191","200663_at","CD63","967"
"192","200664_s_at","DNAJB1","3337"
"193","200665_s_at","SPARC","6678"
"194","200666_s_at","DNAJB1","3337"
"195","200667_at","UBE2D3","7323"
"196","200668_s_at","UBE2D3","7323"
"197","200669_s_at","UBE2D3","7323"
"198","200670_at","XBP1","7494"
"199","200671_s_at","SPTBN1","6711"
"200","200672_x_at","SPTBN1","6711"
"201","200673_at","LAPTM4A","9741"
"202","200674_s_at","RPL32","6161"
"203","200675_at","CD81","975"
"204","200676_s_at","UBE2L3","7332"
"205","200677_at","PTTG1IP","754"
"206","200678_x_at","GRN","2896"
"207","200679_x_at","HMGB1","3146"
"208","200680_x_at","HMGB1","3146"
"209","200681_at","GLO1","2739"
"210","200682_s_at","UBE2L3","7332"
"211","200683_s_at","UBE2L3","7332"
"212","200684_s_at","UBE2L3","7332"
"213","200685_at","SRSF11","9295"
"214","200686_s_at","SRSF11","9295"
"215","200687_s_at","SF3B3","23450"
"216","200688_at","SF3B3","23450"
"217","200689_x_at","EEF1G /// MIR3654","1937 /// 100500804"
"218","200690_at","HSPA9","3313"
"219","200691_s_at","HSPA9","3313"
"220","200692_s_at","HSPA9","3313"
"221","200693_at","YWHAQ","10971"
"222","200694_s_at","DDX24","57062"
"223","200695_at","PPP2R1A","5518"
"224","200696_s_at","GSN","2934"
"225","200697_at","HK1","3098"
"226","200698_at","KDELR2","11014"
"227","200699_at","KDELR2","11014"
"228","200700_s_at","KDELR2","11014"
"229","200701_at","NPC2","10577"
"230","200702_s_at","DDX24","57062"
"231","200703_at","DYNLL1","8655"
"232","200704_at","LITAF","9516"
"233","200705_s_at","EEF1B2 /// SNORA41","1933 /// 619569"
"234","200706_s_at","LITAF","9516"
"235","200707_at","PRKCSH","5589"
"236","200708_at","GOT2","2806"
"237","200709_at","FKBP1A /// LOC101929368","2280 /// 101929368"
"238","200710_at","ACADVL","37"
"239","200711_s_at","SKP1","6500"
"240","200712_s_at","MAPRE1","22919"
"241","200713_s_at","MAPRE1","22919"
"242","200714_x_at","OS9","10956"
"243","200715_x_at","RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A","23521 /// 26816 /// 26817 /// 26818 /// 26819"
"244","200716_x_at","RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A","23521 /// 26816 /// 26817 /// 26818 /// 26819 /// 728658"
"245","200717_x_at","RPL7","6129"
"246","200718_s_at","SKP1","6500"
"247","200719_at","SKP1","6500"
"248","200720_s_at","ACTR1A","10121"
"249","200721_s_at","ACTR1A","10121"
"250","200722_s_at","CAPRIN1","4076"
"251","200723_s_at","CAPRIN1","4076"
"252","200724_at","RPL10 /// SNORA70","6134 /// 26778"
"253","200725_x_at","RPL10 /// SNORA70","6134 /// 26778"
"254","200726_at","PPP1CC","5501"
"255","200727_s_at","ACTR2","10097"
"256","200728_at","ACTR2","10097"
"257","200729_s_at","ACTR2","10097"
"258","200730_s_at","PTP4A1","7803"
"259","200731_s_at","PTP4A1","7803"
"260","200732_s_at","PTP4A1","7803"
"261","200733_s_at","PTP4A1","7803"
"262","200734_s_at","ARF3","377"
"263","200735_x_at","NACA","4666"
"264","200736_s_at","GPX1","2876"
"265","200737_at","PGK1","5230"
"266","200738_s_at","PGK1","5230"
"267","200739_s_at","SUMO3","6612"
"268","200740_s_at","SUMO3","6612"
"269","200741_s_at","RPS27","6232"
"270","200742_s_at","TPP1","1200"
"271","200743_s_at","TPP1","1200"
"272","200744_s_at","GNB1","2782"
"273","200745_s_at","GNB1","2782"
"274","200746_s_at","GNB1","2782"
"275","200747_s_at","NUMA1","4926"
"276","200748_s_at","FTH1","2495"
"277","200749_at","RAN","5901"
"278","200750_s_at","RAN","5901"
"279","200751_s_at","HNRNPC","3183"
"280","200752_s_at","CAPN1","823"
"281","200753_x_at","MIR636 /// SRSF2","6427 /// 693221"
"282","200754_x_at","MIR636 /// SRSF2","6427 /// 693221"
"283","200755_s_at","CALU","813"
"284","200756_x_at","CALU","813"
"285","200757_s_at","CALU","813"
"286","200758_s_at","NFE2L1","4779"
"287","200759_x_at","NFE2L1","4779"
"288","200760_s_at","ARL6IP5","10550"
"289","200761_s_at","ARL6IP5","10550"
"290","200762_at","DPYSL2","1808"
"291","200763_s_at","RPLP1","6176"
"292","200764_s_at","CTNNA1","1495"
"293","200765_x_at","CTNNA1","1495"
"294","200766_at","CTSD","1509"
"295","200767_s_at","FAM120A","23196"
"296","200768_s_at","MAT2A","4144"
"297","200769_s_at","MAT2A","4144"
"298","200770_s_at","LAMC1","3915"
"299","200771_at","LAMC1","3915"
"300","200772_x_at","LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA","5757 /// 728026 /// 100302285 /// 100422872 /// 100422885 /// 100506248"
"301","200773_x_at","PTMA","5757"
"302","200774_at","FAM120A","23196"
"303","200775_s_at","HNRNPK","3190"
"304","200776_s_at","BZW1","9689"
"305","200777_s_at","BZW1","9689"
"306","200778_s_at","SEPT2","4735"
"307","200779_at","ATF4","468"
"308","200780_x_at","GNAS","2778"
"309","200781_s_at","RPS15A","6210"
"310","200782_at","ANXA5","308"
"311","200783_s_at","STMN1","3925"
"312","200784_s_at","LRP1","4035"
"313","200785_s_at","LRP1","4035"
"314","200786_at","PSMB7","5695"
"315","200787_s_at","PEA15","8682"
"316","200788_s_at","PEA15","8682"
"317","200789_at","ECH1","1891"
"318","200790_at","ODC1","4953"
"319","200791_s_at","IQGAP1","8826"
"320","200792_at","XRCC6","2547"
"321","200793_s_at","ACO2","50"
"322","200794_x_at","DAZAP2","9802"
