gene_ID,10-14 days,90 days,log2FC,log2ave,w,WAD
1053_at,5.974074539490481,5.780044224027554,-0.1940303154629266,5.877059381759017,0.4342067947689171,-0.08424928136515922
117_at,6.389220809208888,6.656640455400613,0.2674196461917244,6.5229306323047505,0.48025973875430905,0.12843088941780734
121_at,9.103735069804811,9.165810942240078,0.06207587243526547,9.134773006022446,0.666493497315106,0.041373165318266465
1255_g_at,4.628715565392748,4.778879912884107,0.15016434749135854,4.703797739138428,0.35054901829696533,0.052639964596300104
1294_at,7.372078457400582,7.725069870663579,0.35299141326299655,7.548574164032081,0.5533918127949289,0.19534255808665357
1316_at,6.750950588655993,6.880267075419824,0.12931648676383123,6.815608832037908,0.5011287474408972,0.0648042090354161
1320_at,2.925952069127733,3.0450447313220654,0.11909266219433244,2.985498400224899,0.22802809305333976,0.027156472656819197
1405_i_at,6.569053929198575,7.556342689567077,0.987288760368502,7.062698309382826,0.5187471161946238,0.5121531972925254
1431_at,5.0318510202625335,5.419509363003316,0.3876583427407825,5.225680191632925,0.3877611148740775,0.15031883117140307
1438_at,5.129513798292694,5.047129853190117,-0.08238394510257763,5.088321825741406,0.37796696917556233,-0.031138410039147177
1487_at,7.593506164405067,7.60806791017702,0.01456174577195312,7.6007870372910435,0.557114778518329,0.008112563770581878
1494_f_at,7.896234436354272,7.7365142310813555,-0.15972020527291608,7.816374333717814,0.5724869284288802,-0.09143772972472196
1598_g_at,9.707287071290482,10.34524446708825,0.637957395797768,10.026265769189363,0.7300601388877381,0.4657472649805782
160020_at,7.898764049959898,8.338577903369549,0.4398138534096505,8.118670976664724,0.5940417667234209,0.26126779850890447
1729_at,7.655058448846621,7.90093733050356,0.24587888165693972,7.77799788967509,0.5697505498915715,0.14008962803076602
1773_at,4.610611057430755,5.070907071139207,0.46029601370845175,4.840759064284981,0.36031485356182613,0.1658514907744531
177_at,6.196382328269296,6.378412229359133,0.1820299010898374,6.287397278814215,0.463465363209917,0.08436455422366676
179_at,8.253830535344164,8.35988048385398,0.1060499485098152,8.306855509599071,0.6074600010028068,0.06442110182811996
1861_at,6.637217290191548,6.352229243849985,-0.28498804634156283,6.494723267020767,0.47824845212047734,-0.1362950920356913
200000_s_at,8.502417800653935,8.598232894265985,0.09581509361204964,8.55032534745996,0.6248202764379898,0.05986721327761272
200001_at,8.971098742227081,8.944700465090031,-0.02639827713704967,8.957899603658557,0.6538817873424339,-0.017261352637134946
200002_at,11.213295832129903,11.078639914993644,-0.13465591713626246,11.145967873561773,0.8098989275773064,-0.1090576828805976
200003_s_at,11.441163366599609,11.473615099036044,0.03245173243643684,11.457389232817825,0.8321043909750894,0.02700322905510783
200004_at,11.447820176394584,11.287099934479537,-0.1607202419150493,11.36746005543706,0.8256921170659018,-0.13270543680218094
200005_at,9.627167331464916,9.61830669957248,-0.00886063189243557,9.622737015518698,0.7012870868691079,-0.006213846727665652
200006_at,12.213185468319994,11.816060637261504,-0.3971248310584894,12.01462305279075,0.8718371672463595,-0.3462281877532225
200007_at,11.79963387340742,11.577165811288502,-0.222468062118919,11.688399842347962,0.8485762786024352,-0.18878112026076768
200008_s_at,7.803401121481284,7.916859255338457,0.11345813385717296,7.860130188409871,0.5756068783004119,0.0653072822473176
200009_at,11.00441620622751,10.885386519830387,-0.1190296863971234,10.944901363028947,0.7955621619462578,-0.09469551464588057
200010_at,10.994578862099392,10.707000974785998,-0.28757788731339495,10.850789918442697,0.7888516773376726,-0.2268562987723958
200011_s_at,10.3164548406169,10.12371758844743,-0.19273725216947035,10.220086214532166,0.7438802339996567,-0.14337343224427646
200012_x_at,12.041318029619454,11.989425107188968,-0.05189292243048626,12.01537156840421,0.8718905391027315,-0.04524494811353289
200013_at,11.723394943165824,11.4622360952227,-0.2611588479431255,11.592815519194264,0.8417607724526269,-0.21983327357744345
200014_s_at,10.45907790869509,10.077677358612792,-0.3814005500822972,10.26837763365394,0.7473235859338246,-0.2850296267646356
200015_s_at,11.45915955080524,11.41549237695313,-0.04366717385210883,11.437325963879186,0.8306738077128459,-0.036273177575790065
200016_x_at,12.528488072459131,12.387301775592688,-0.14118629686644546,12.457894924025911,0.903444046541643,-0.1275539193572512
