"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.52815409971163e-13,0.279286424984877,0.883,0.973,2.44894473127319e-08,"ECM related 1","RPL32"
4.41902928340966e-12,0.389243664483748,0.17,0.29,1.26896844902392e-07,"ECM related 1","ADIRF"
4.65210223573474e-12,0.383617726760994,0.091,0.168,1.33589767801359e-07,"ECM related 1","HIST1H4C"
5.4442893799126e-12,0.27450788049428,0.877,0.974,1.5633821383357e-07,"ECM related 1","RPS15"
8.37550948495184e-12,0.298614668176877,0.329,0.523,2.40511130369877e-07,"ECM related 1","IFI6"
1.19181248736326e-11,0.26937525449399,0.075,0.142,3.42240873871235e-07,"ECM related 1","TRPS1"
1.6728989875762e-11,0.328490919419207,0.306,0.521,4.80389673272382e-07,"ECM related 1","ATP5MC2"
7.42615319574456e-11,0.441080476695074,0.126,0.215,2.13249415169001e-06,"ECM related 1","HES1"
1.7613124801897e-10,0.685650473797004,0.122,0.207,5.05778491811274e-06,"ECM related 1","APOD"
5.77890942243056e-10,0.316833400483601,0.246,0.392,1.65947162974516e-05,"ECM related 1","KRT19"
1.19924427228138e-09,0.29587584145561,0.746,0.903,3.44374985228322e-05,"ECM related 1","RPS25"
2.74826807963377e-09,0.300576490238988,0.88,0.961,7.89192661747633e-05,"ECM related 1","RPS8"
3.11096156681578e-09,0.315409278558549,0.115,0.191,8.9334372352682e-05,"ECM related 1","MIAT"
4.59192012403228e-09,0.507313151633331,0.188,0.306,0.000131861578281711,"ECM related 1","HNRNPH1"
4.9179592809474e-09,0.301166194180142,0.798,0.935,0.000141224118711685,"ECM related 1","RPL8"
7.51269784762439e-09,0.347334494716867,0.219,0.35,0.000215734631392382,"ECM related 1","RPL17"
7.72411962732623e-09,0.257182775899678,0.057,0.105,0.0002218058192183,"ECM related 1","NBPF14"
1.30325092936615e-08,0.419410983625747,0.098,0.164,0.000374241536876784,"ECM related 1","MAFB"
2.30418408437246e-08,0.37789830086226,0.715,0.883,0.000661669501668397,"ECM related 1","RPL7"
1.65032793808023e-07,0.492353939173969,0.21,0.328,0.00473908170699118,"ECM related 1","GOLIM4"
4.14245667454434e-07,0.447135813272962,0.105,0.168,0.0118954785866215,"ECM related 1","RBM6"
4.81403935477351e-07,0.321312329683344,0.768,0.926,0.0138239954111676,"ECM related 1","RPS3"
6.77268207669744e-07,0.397129789908524,0.119,0.186,0.0194484338514444,"ECM related 1","KRT18"
9.00452773203131e-07,0.258528337869203,0.068,0.113,0.0258574018353011,"ECM related 1","HLA-DRA"
1.23086322028203e-06,0.297899877029812,0.437,0.703,0.0353454682336189,"ECM related 1","COX6C"
1.25985186858853e-06,0.306267759912346,0.714,0.897,0.0361779062583883,"ECM related 1","RPS5"
3.42003325551041e-116,0.697139157251113,0.646,0.25,9.82096749652369e-112,"ECM related 2","PRSS23"
6.55081415346913e-116,0.589859106990933,0.492,0.147,1.8811317923102e-111,"ECM related 2","LDHA"
2.10848398064823e-111,0.502375047764183,0.404,0.104,6.05472259882945e-107,"ECM related 2","PDIA3"
2.36506684086764e-106,0.434257513248236,0.492,0.153,6.79152594023551e-102,"ECM related 2","ANXA5"
7.5587968545694e-103,0.444452251315451,0.541,0.182,2.17058410475815e-98,"ECM related 2","RTN4"
1.69390765167828e-102,0.678177900465413,0.809,0.402,4.86422521255934e-98,"ECM related 2","TPM1"
1.16046840915677e-100,0.471157686028409,0.49,0.16,3.33240108373459e-96,"ECM related 2","PMP22"
1.80121425522486e-100,0.407895449942767,0.416,0.119,5.1723668553037e-96,"ECM related 2","CLEC11A"
3.44554347508314e-100,0.521822793588177,0.417,0.122,9.89422264304876e-96,"ECM related 2","FAP"
3.51584846194787e-99,0.516750658092862,0.413,0.122,1.00961104433295e-94,"ECM related 2","ITGBL1"
6.09772514464281e-98,0.411077742400886,0.534,0.186,1.75102275253563e-93,"ECM related 2","GSN"
3.994769950622e-96,0.630278249031463,0.702,0.347,1.14713813902061e-91,"ECM related 2","ACTA2"
4.44526098554043e-96,0.451442099363019,0.458,0.147,1.27650114460779e-91,"ECM related 2","MFGE8"
6.22866894138228e-95,0.722004602700425,0.793,0.428,1.78862457320734e-90,"ECM related 2","CTGF"
3.64118863157432e-94,0.529898923092969,0.385,0.111,1.04560372744288e-89,"ECM related 2","CD55"
7.43726893187875e-93,0.502033440031341,0.619,0.248,2.1356861464783e-88,"ECM related 2","INHBA"
1.52884809614455e-92,0.95287085256263,0.234,0.04,4.39024019288868e-88,"ECM related 2","MTRNR2L8"
2.25296629934432e-92,0.474147588723724,0.508,0.179,6.46961802519714e-88,"ECM related 2","HSP90B1"
3.36736663702937e-92,0.502211435807577,0.682,0.283,9.66973003489354e-88,"ECM related 2","PALLD"
5.38258878326536e-92,0.46854930500653,0.366,0.103,1.54566419500248e-87,"ECM related 2","HERPUD1"
3.36943142907937e-90,0.631656296933541,0.27,0.057,9.67565929174433e-86,"ECM related 2","SERPINE2"
3.84530891952689e-88,0.275179375762969,0.438,0.14,1.10421890933134e-83,"ECM related 2","EFEMP2"
5.9291562653962e-88,0.694677639059393,0.898,0.613,1.70261651317117e-83,"ECM related 2","TAGLN"
6.38714282802847e-88,0.305166416105774,0.374,0.108,1.83413193449666e-83,"ECM related 2","AP2M1"
3.93170795928708e-87,0.338242592169219,0.506,0.18,1.12902925758888e-82,"ECM related 2","PKM"
6.70077245877405e-87,0.383455088372439,0.407,0.127,1.92419381926156e-82,"ECM related 2","ANXA1"
5.20993221899194e-86,0.495349112549668,0.537,0.21,1.49608413600572e-81,"ECM related 2","C1R"
3.15252201340998e-85,0.408871569612722,0.618,0.246,9.05278221370809e-81,"ECM related 2","CALU"
5.55939682082726e-85,0.288758292887544,0.329,0.089,1.59643639106876e-80,"ECM related 2","PSMB3"
1.58420835126926e-84,0.339231194287998,0.3,0.075,4.5492127015048e-80,"ECM related 2","YWHAQ"
2.32102129145731e-84,0.254307226804309,0.487,0.169,6.66504474054881e-80,"ECM related 2","RBM3"
1.00483488407096e-83,0.313259109069524,0.277,0.065,2.88548385309818e-79,"ECM related 2","RAP1B"
1.08127413846957e-83,0.358046559264557,0.52,0.192,3.10498681602923e-79,"ECM related 2","ACTN1"
4.51633043733975e-83,0.323412227975227,0.586,0.224,1.29690944838648e-78,"ECM related 2","RHOA"
1.20027943066368e-82,0.367402051383648,0.375,0.115,3.44672241309381e-78,"ECM related 2","CTSZ"
1.23312419658645e-82,0.255060942534117,0.572,0.219,3.54103944291765e-78,"ECM related 2","RAC1"
1.47521930970976e-82,0.35657643693338,0.403,0.13,4.23623976976254e-78,"ECM related 2","PDLIM5"
1.51427503983324e-82,0.320976553961111,0.532,0.198,4.34839220438512e-78,"ECM related 2","SEPT11"
2.39116868798479e-82,0.313738629879428,0.276,0.065,6.86648000441712e-78,"ECM related 2","CNBP"
2.76480241240536e-82,0.530238809140478,0.329,0.093,7.93940660746323e-78,"ECM related 2","HSPA5"
9.88411076061035e-82,0.291013684945028,0.363,0.109,2.83832124601687e-77,"ECM related 2","SLC25A3"
5.33405470581702e-81,0.339181306539346,0.382,0.12,1.53172714932242e-76,"ECM related 2","CAP1"
2.43932734163436e-80,0.368693106159458,0.439,0.152,7.00477239423722e-76,"ECM related 2","LOXL1"
2.82164354069416e-80,0.434854417265165,0.24,0.05,8.10263159145736e-76,"ECM related 2","CFH"
4.30623912151381e-80,0.282403037650276,0.493,0.179,1.23657962613391e-75,"ECM related 2","CD59"
8.79943252777754e-80,0.402932846883488,0.647,0.274,2.5268450446766e-75,"ECM related 2","FLNA"
9.05990854424798e-80,0.325912779215625,0.29,0.074,2.60164333756625e-75,"ECM related 2","YWHAH"
1.11124133052222e-79,0.428368410100209,0.692,0.308,3.19104060472762e-75,"ECM related 2","FBN1"
1.12753413001969e-79,0.442792246638231,0.696,0.31,3.23782700776454e-75,"ECM related 2","DSTN"
2.24542890951797e-79,0.420009332288716,0.567,0.233,6.44797365657181e-75,"ECM related 2","SULF1"
3.80798332328322e-79,0.285872628697514,0.379,0.12,1.09350049111401e-74,"ECM related 2","C4orf48"
1.43143476746609e-78,0.356871801339164,0.631,0.264,4.11050807825563e-74,"ECM related 2","MYH9"
3.48460643481227e-78,0.46299772083285,0.735,0.364,1.00063958382069e-73,"ECM related 2","MYL9"
4.92051234371565e-78,0.308429441164732,0.384,0.124,1.41297432462138e-73,"ECM related 2","SDC2"
1.2059847992533e-77,0.255873576787755,0.302,0.082,3.46310594953578e-73,"ECM related 2","TGFB1I1"
1.50070692058972e-77,0.299679176887869,0.311,0.087,4.30942999316545e-73,"ECM related 2","PLS3"
1.02270561616018e-76,0.481580291396417,0.707,0.342,2.93680144736557e-72,"ECM related 2","TPM2"
1.05397286210074e-76,0.271096733907449,0.31,0.087,3.02658847080849e-72,"ECM related 2","ATP6AP2"
1.13945847659827e-76,0.396905555320165,0.281,0.073,3.27206896139959e-72,"ECM related 2","SPOCK1"
1.59254295361719e-76,0.383276644777986,0.472,0.179,4.57314634560713e-72,"ECM related 2","MFAP5"
3.94246581829936e-76,0.326126031325054,0.262,0.063,1.13211848438284e-71,"ECM related 2","LMCD1"
5.47637078023523e-76,0.463885156596395,0.905,0.585,1.57259463325235e-71,"ECM related 2","IGFBP7"
7.78872002238922e-76,0.401867188199728,0.672,0.307,2.23660884162929e-71,"ECM related 2","NNMT"
2.17303987987267e-75,0.311847064573622,0.388,0.129,6.24010131904236e-71,"ECM related 2","SEC31A"
9.15307921156866e-75,0.329477682144421,0.55,0.221,2.62839822639406e-70,"ECM related 2","COL8A1"
1.00633335399706e-74,0.274087986763856,0.418,0.145,2.88978685933796e-70,"ECM related 2","CD81"
7.84939464922649e-74,0.814217025165572,0.328,0.108,2.25403216747188e-69,"ECM related 2","COMP"
8.40137778826711e-74,0.293095856274019,0.252,0.061,2.41253964567878e-69,"ECM related 2","CLTB"
9.17823835257503e-74,0.27356037373944,0.26,0.065,2.63562292532544e-69,"ECM related 2","YBX3"
1.49992881939495e-73,0.485611727462627,0.313,0.095,4.30719559777454e-69,"ECM related 2","C3"
8.68871129651565e-73,0.316211434693271,0.334,0.104,2.49505033590743e-68,"ECM related 2","NEXN"
2.22436113895432e-72,0.270441322786194,0.512,0.199,6.38747544662123e-68,"ECM related 2","CCNI"
2.26514214165353e-72,0.268234153570714,0.321,0.096,6.50458217397228e-68,"ECM related 2","PDIA6"
2.70665204539702e-72,0.266271176635475,0.308,0.09,7.77242201356209e-68,"ECM related 2","ACTR2"
3.06309314349599e-72,0.445860775174182,0.363,0.123,8.79597827086308e-68,"ECM related 2","COL15A1"
4.39796224456052e-71,0.41121341663737,0.238,0.057,1.262918838148e-66,"ECM related 2","LTBP2"
4.57399849770046e-71,0.311107478451246,0.233,0.054,1.31346940859966e-66,"ECM related 2","ANXA6"
1.01674030743079e-70,0.291780958365898,0.258,0.066,2.91967146681826e-66,"ECM related 2","GDI2"
1.65183516783218e-70,0.26063999189432,0.25,0.062,4.74340986794689e-66,"ECM related 2","LIMS1"
4.32598464927785e-70,0.506526094247448,0.908,0.615,1.24224975188663e-65,"ECM related 2","VIM"
6.09748329975598e-70,0.396262630079316,0.383,0.136,1.75095330435793e-65,"ECM related 2","COL18A1"
1.3335055738006e-69,0.252727590869491,0.247,0.062,3.82929460572579e-65,"ECM related 2","PNRC1"
7.41339399049044e-69,0.324704615269028,0.627,0.273,2.12883021830924e-64,"ECM related 2","P4HB"
3.1658078375114e-68,0.25095879306548,0.256,0.068,9.09093378619772e-64,"ECM related 2","ILK"
4.75332350488957e-68,0.25915900337758,0.529,0.213,1.36496437766409e-63,"ECM related 2","PRRX1"
1.53997358933714e-67,0.264758970104312,0.228,0.055,4.42218815914053e-63,"ECM related 2","PSMA1"
2.52256557767327e-67,0.274572725168253,0.26,0.07,7.24379931284657e-63,"ECM related 2","ACTR3"
5.00394231795931e-67,0.252841431180986,0.3,0.092,1.4369320760252e-62,"ECM related 2","MSRB3"
5.11552490290674e-67,0.270586005252738,0.233,0.057,1.4689741311187e-62,"ECM related 2","UGP2"
5.57759358563628e-67,0.412923737253821,0.719,0.353,1.60166177405131e-62,"ECM related 2","UBC"
6.23640422768055e-67,0.260996001781439,0.338,0.111,1.79084583802075e-62,"ECM related 2","ITGAV"
6.98327356268647e-67,0.281067801252109,0.242,0.062,2.00531683626105e-62,"ECM related 2","GNB1"
1.02287914702762e-66,0.271276012985092,0.242,0.062,2.93729975860451e-62,"ECM related 2","CCPG1"
3.81894208602468e-65,0.261440288373856,0.354,0.122,1.09664740942285e-60,"ECM related 2","LAMA4"
1.11356849931801e-64,0.291626183413196,0.334,0.112,3.19772330264159e-60,"ECM related 2","GPNMB"
2.394490411418e-64,0.313324908589612,0.253,0.07,6.87601866542792e-60,"ECM related 2","CEBPB"
2.79912150092769e-64,0.296159064269814,0.587,0.257,8.03795730206396e-60,"ECM related 2","XIST"
